06 dealers	06-dealers
ftp-en	ftp'en
FTP	ftp
FTP-server	ftp-server
FTP-site	ftp-site
FTP-sites	ftp-sites
ftpt	ftp't
fuivert	
fulmineerdert	
functieuitoefening	functie-uitoefening
functieuitrusting	functie-uitrusting
functioneerdert	
fundeerdert	
fungeerdert	
funshoppert	
fuseerdert	
fusilleerdert	
fusioneerdert	
futselert	
gaaike	gaaitje
gaardert	
gaarkokert	
gabbert	
gadeslaart	
gadeslat	gadeslaat
gaffelert	
gaggelert	
gakkert	
Galápagoseilanden	Galapagoseilanden
galle	challe
gallert	
galmert	
galonneerdert	
galoppeerdert	
galvaniseerdert	
gamert	
gangbangert	
gansknuppelert	
ganstrekkert	
ganzenbordert	
gapert	
gappert	
garandeerdert	
garante	garantie
garantie-auto	garantieauto
garantie-autootje	garantieautootje
garantie-autootjes	garantieautootjes
garantie-auto's	garantieauto's
garneerdert	
garvert	
gascylinder	gascilinder
gascylinders	gascilinders
gasgebruikt	
gashandelt	
gaslaart	
gassert	
gasteerdert	
gastouderbureau's	gastouderbureaus
gaufreerdert	
Gaugin	Gauguin
gaveregeling	
gaves	
g/cm3	g/cm³
GDV-lokatie	GDV-locatie
geaait	geaaid
geaardt	geaard
geabsorbeert	geabsorbeerd
geaccepteerdt	geaccepteerd
geaccepteert	geaccepteerd
geaccomodeerd	geaccommodeerd
geaccordeerdt	geaccordeerd
geaccordeert	geaccordeerd
geactiveert	geactiveerd
geadopteert	geadopteerd
geadt	geat
geadviseerdt	geadviseerd
geadviseert	geadviseerd
geamuseerdt	geamuseerd
geamuseert	geamuseerd
geanalyseert	geanalyseerd
geanimeerdt	geanimeerd
geannuleert	geannuleerd
geantwoordt	geantwoord
geantwoort	geantwoord
gearbeidt	gearbeid
gearresteerdt	gearresteerd
gearresteert	gearresteerd
gearriveert	gearriveerd
geassisteert	geassisteerd
geassocieert	geassocieerd
geautomatiseert	geautomatiseerd
geavanceert	geavanceerd
gebaardert	
gebabbelt	gebabbeld
gebackupt	geback-upt
gebaldt	gebald
geband	gebannen
gebant	gebannen
gebasebald	gebaseballd
gebaseerdt	gebaseerd
gebaseert	gebaseerd
gebauwde	gebouwde
gebauwdt	gebauwd
gebeidt	gebeid
gebeldt	gebeld
gebelt	gebeld
gebeterdt	gebeterd
gebeuurdert	
gebezigdt	gebezigd
gebezigt	gebezigd
gebiedert	
geblaadt	geblaat
gebladert	gebladerd
gebleerd	geblèrd
geblendt	geblend
geblesseert	geblesseerd
gebloedt	gebloed
gebloeit	gebloeid
gebloemt	gebloemd
geblogt	geblogd
geblokkeerdt	geblokkeerd
geblokkeert	geblokkeerd
geblowt	geblowd
geblusd	geblust
geboeidt	geboeid
geboeit	geboeid
geboekd	geboekt
geboert	geboerd
gebombardeert	gebombardeerd
geboordt	geboord
geboort	geboord
geborduurt	geborduurd
geborgdt	geborgd
geborgt	geborgd
geborstelt	geborsteld
gebotvierd	botgevierd
geboudt	gebout
gebouwden	gebouwde
gebouwdt	gebouwd
gebouwt	gebouwd
gebrachd	gebracht
gebrandt	gebrand
gebrant	gebrand
gebreidt	gebreid
gebreit	gebreid
gebrepen	begrepen
gebroedt	gebroed
gebruikd	gebruikt
gebruikert	
gebruikmakert	
gebrusqueerd	gebruuskeerd
gebuist	gebuisd
gebundelt	gebundeld
gecasseerdt	gecasseerd
gecastreert	gecastreerd
gecensureerdt	gecensureerd
gecensureert	gecensureerd
gecentreerdt	gecentreerd
gecertificeert	gecertificeerd
gecharmeert	gecharmeerd
gecheckd	gecheckt
geciteert	geciteerd
geclaimt	geclaimd
gecoachd	gecoacht
gecodeert	gecodeerd
gecombineerdt	gecombineerd
gecombineert	gecombineerd
gecommiteerd	gecommitteerd
gecommitteert	gecommitteerd
gecommuniceert	gecommuniceerd
gecompenseerdt	gecompenseerd
gecompenseert	gecompenseerd
gecompliceerdt	gecompliceerd
gecompliceert	gecompliceerd
gecomponeert	gecomponeerd
geconcenteerd	geconcentreerd
geconcentreert	geconcentreerd
geconcludeert	geconcludeerd
geconditioneert	geconditioneerd
geconfigureert	geconfigureerd
geconfronteerdt	geconfronteerd
geconfronteert	geconfronteerd
geconstateert	geconstateerd
geconstrueert	geconstrueerd
geconsumeert	geconsumeerd
gecontacteert	gecontacteerd
gecontinueerdt	gecontinueerd
gecontinueert	gecontinueerd
gecontracteert	gecontracteerd
gecontraïndiceerd	
gecontroleerdt	gecontroleerd
gecontroleert	gecontroleerd
geconverteert	geconverteerd
gecoòrdineerde	gecoördineerde
gecoördineerdt	gecoördineerd
gecoördineert	gecoördineerd
gecorrigeert	gecorrigeerd
gecorrumpeerdt	gecorrumpeerd
gecrashd	gecrasht
gecreëerdt	gecreëerd
gecreëert	gecreëerd
gecruisd	gecruised
gecruist	gecruiset
gedaagt	gedaagd
gedaalt	gedaald
gedaande	gedane
gedaand	gedaan
gedachtengangen	gedachtegangen
gedachtengang	gedachtegang
gedachtenkronkel	gedachtekronkel
gedachtenkronkels	gedachtekronkels
gedachtensprongen	gedachtesprongen
gedachtenstappen	gedachtestappen
gedachtenstreep	gedachtestreep
gedachtenstreepje	gedachtestreepje
gedachtenstreepjes	gedachtestreepjes
gedachtenstrepen	gedachtestrepen
gedachtenwendingen	gedachtewendingen
gedagvaardt	gedagvaard
gedagvaart	gedagvaard
gedansd	gedanst
gedateert	gedateerd
gedeblokkeert	gedeblokkeerd
gedeclareert	gedeclareerd
gedeeldt	gedeeld
gedeelt	gedeeld
gedefiniëerd	gedefinieerd
gedefinieert	gedefinieerd
gedegradeert	gedegradeerd
gedeklasseerd	gedeclasseerd
gedeleted	gedeletet
gedemonstreert	gedemonstreerd
gedemonteert	gedemonteerd
gedempd	gedempt
gedenkert	
gedeponeert	gedeponeerd
gedeporteert	gedeporteerd
gedesinfecteerdt	gedesinfecteerd
gedetailleert	gedetailleerd
gedetecteert	gedetecteerd
gediagnostiseerd	gediagnosticeerd
gediendt	gediend
gedient	gediend
gedigitaliseert	gedigitaliseerd
gedijert	
gedimdt	gedimd
gedimt	gedimd
gedirigeert	gedirigeerd
gediscrimineerdt	gediscrimineerd
gediscrimineert	gediscrimineerd
gediscussieert	gediscussieerd
gediskwalificeert	gediskwalificeerd
gedistilleert	gedistilleerd
gedoceert	gedoceerd
gedoelt	gedoeld
gedoemt	gedoemd
gedogert	
gedomineert	gedomineerd
gedompelt	gedompeld
gedoneert	gedoneerd
gedoodt	gedood
gedooft	gedoofd
gedoopd	gedoopt
gedoot	gedood
gedoseerdt	gedoseerd
gedoseert	gedoseerd
gedouchd	gedoucht
gedownloadt	gedownload
gedraaidt	gedraaid
gedraait	gedraaid
gedragert	
gedreigt	gedreigd
gedrilt	gedrild
gedroogden	gedroogde
gedroogdt	gedroogd
gedroogt	gedroogd
gedroomdt	gedroomd
gedroomt	gedroomd
gedrukd	gedrukt
gedubt	gedubd
geduidt	geduid
geduldt	geduld
gedult	geduld
gedumpd	gedumpt
gedupeert	gedupeerd
gedurft	gedurfd
geduurdt	geduurd
geduurt	geduurd
geduwdt	geduwd
geduwt	geduwd
geëerbiedigdt	geëerbiedigd
geëert	geëerd
geëigendt	geëigend
geëindigdt	geëindigd
geëindigt	geëindigd
geëisd	geëist
geelgietert	
ge-emaild	ge-e-maild
geemaild	ge-e-maild
geënd	geënt
gèèn	géén
geenzins	geenszins
geerdert	
geerfd	geërfd
geerft	geërfd
geërft	geërfd
geërgerdt	geërgerd
geeuwert	
geëvolueerdt	geëvolueerd
geëvolueert	geëvolueerd
geëxamineerdt	geëxamineerd
geëxecuteert	geëxecuteerd
geëxperimenteert	geëxperimenteerd
geëxpireerdt	geëxpireerd
geëxploiteerdt	geëxploiteerd
geëxporteert	geëxporteerd
gefaalt	gefaald
gefabriceert	gefabriceerd
gefaciliteert	gefaciliteerd
gefantaseerdt	gefantaseerd
gefascineert	gefascineerd
gefeliciteert	gefeliciteerd
gefietsd	gefietst
gefilmdt	gefilmd
gefilmt	gefilmd
gefiltert	gefilterd
gefinanciert	gefinancierd
gefingeerdt	gefingeerd
gefinishd	gefinisht
gefixeert	gefixeerd
geflankeert	geflankeerd
geflansd	geflanst
geflikkerdt	geflikkerd
geflikkert	geflikkerd
gefocusd	gefocust
geforceert	geforceerd
geformeerdt	geformeerd
geformeert	geformeerd
geformuleerdt	geformuleerd
geformuleert	geformuleerd
gefotografeerdt	gefotografeerd
gefotografeert	gefotografeerd
gefourageerd	gefoerageerd
gefractioneerdt	gefractioneerd
gefraudeert	gefraudeerd
gefreest	gefreesd
gefrituurdt	gefrituurd
gefronsd	gefronst
gefrustreert	gefrustreerd
gefundeert	gefundeerd
gegarandeerdt	gegarandeerd
gegarandeert	gegarandeerd
gegenereert	gegenereerd
gegijzelt	gegijzeld
gegooidt	gegooid
gegooit	gegooid
gegraveert	gegraveerd
gegrifd	gegrift
gegrilt	gegrild
gegroeit	gegroeid
gegromdt	gegromd
gegrondt	gegrond
gegront	gegrond
gegunt	gegund
gehaad	gehaat
gehaadt	gehaat
gehaaldt	gehaald
gehaalt	gehaald
gehadt	gehad
gehalveerdt	gehalveerd
gehalveert	gehalveerd
gehandeldt	gehandeld
gehandelt	gehandeld
gehandhaafdt	gehandhaafd
gehandhaaft	gehandhaafd
gehanteert	gehanteerd
gehart	gehard
gehat	gehad
geheelt	geheeld
geheidt	geheid
geheiligt	geheiligd
geheimagenten	geheim agenten
geheimagent	geheim agent
geheimhoudert	
geheit	geheid
gehercalibreerde	geherkalibreerde
gehersenspoelt	gehersenspoeld
gehindert	gehinderd
gehoedt	gehoed
gehonoreert	gehonoreerd
gehoondt	gehoond
gehoopd	gehoopt
gehoordt	gehoord
gehoort	gehoord
gehoorzamert	
gehousd	gehoused
gehoust	gehouset
gehuildt	gehuild
gehuilt	gehuild
gehuisvesd	gehuisvest
gehuldigt	gehuldigd
gehult	gehuld
gehuurdt	gehuurd
gehuurt	gehuurd
gehuwdt	gehuwd
gehuwt	gehuwd
gehydrateert	gehydrateerd
gehyped	gehypet
geïdentificeerdt	geïdentificeerd
geïdentificeert	geïdentificeerd
geiert	
geilbekkert	
geilert	
geïllustreerdt	geïllustreerd
geïllustreert	geïllustreerd
geïmpliceerdt	geïmpliceerd
geindustrialiseerde	geïndustrialiseerde
geïnformeerdt	geïnformeerd
geïnformeert	geïnformeerd
geïnspecteerdt	geïnspecteerd
geïnspireerdt	geïnspireerd
geïnspireert	geïnspireerd
geinstalleerd	geïnstalleerd
geïnstalleerdt	geïnstalleerd
geïnstalleert	geïnstalleerd
geïntegreerdt	geïntegreerd
geïntegreert	geïntegreerd
geïnteresseerdt	geïnteresseerd
geïnteresseert	geïnteresseerd
geïnterpreteert	geïnterpreteerd
geïnt	geïnd
geintimideerd	geïntimideerd
geïntregeerd	geïntegreerd
geïntroduceerdt	geïntroduceerd
geïntroduceert	geïntroduceerd
geïnvesteert	geïnvesteerd
geïoniseerdt	geïoniseerd
geïsoleerdt	geïsoleerd
geïsoleert	geïsoleerd
geitert	
gejaagdt	gejaagd
gejaagt	gejaagd
gejad	gejat
gejuichd	gejuicht
gejuigd	gejuicht
gejuig	gejuich
gekamt	gekamd
gekand	gekant
gekantelt	gekanteld
gekarakteriseert	gekarakteriseerd
gekarameliseerde	gekaramelliseerde
gekarameliseerd	gekaramelliseerd
gekastijdt	gekastijd
gekeert	gekeerd
gekendt	gekend
geken	gekeken
gekenmerkd	gekenmerkt
gekent	gekend
gekerft	gekerfd
gekeurdt	gekeurd
gekeurt	gekeurd
gèk	gék
gekiepert	gekieperd
gekkert	
geklaagt	geklaagd
geklaart	geklaard
geklasseerdt	geklasseerd
gekleedt	gekleed
gekleeft	gekleefd
gekleet	gekleed
geklemt	geklemd
gekleurt	gekleurd
gekluistert	gekluisterd
geknaldt	geknald
geknalt	geknald
gekneedt	gekneed
gekneust	gekneusd
geknoeit	geknoeid
geknuffelt	geknuffeld
geknutselt	geknutseld
gekoelt	gekoeld
gekoestert	gekoesterd
gekolft	gekolfd
gekookd	gekookt
gekopieerdt	gekopieerd
gekopieert	gekopieerd
gekoppeldt	gekoppeld
gekoppelt	gekoppeld
gekrabt	gekrabd
gekromdt	gekromd
gekromt	gekromd
gekroont	gekroond
gekruisd	gekruist
gekrult	gekruld
gekscheerdert	
gekudt	gekut
gekuisd	gekuist
gekundt	gekund
gekunt	gekund
gekwalificeert	gekwalificeerd
gekweekd	gekweekt
gekweldt	gekweld
gekwelt	gekweld
gekwetsd	gekwetst
gelabelt	gelabeld
gelanceert	gelanceerd
gelandt	geland
gelant	geland
gelasd	gelast
geldert	
geledende	geldende;geleden de;
geledend	geleden
geled	gelet
geledt	gelet
geleeft	geleefd
geleegt	geleegd
geleent	geleend
gelegdt	gelegd
gelegerdt	gelegerd
gelegt	gelegd
geleidert	
geleit	geleid
geleveldt	geleveld
geleverdt	geleverd
gelevert	geleverd
gelezende	gelezen
gelezend	gelezen
gelievert	
gelijkert	
gelijkheidwaardigheid	gelijkwaardigheid
gelijklopert	
gelijkmakert	
gelijkrichtert	
gelijkschakelert	
gelijkspelert	
gelijkstaart	
gelijkstellert	
gelijkstemmert	
gelijktrekkert	
gelijkzettert	
gelijmdt	gelijmd
gelijmt	gelijmd
geliked	geliket
gelimiteerdt	gelimiteerd
gelimiteert	gelimiteerd
gelinkd	gelinkt
gelobt	gelobd
gelocaliseerd	gelokaliseerd
gelogeert	gelogeerd
gelogt	gelogd
geloodsd	geloodst
geloondt	geloond
geloost	geloosd
gelosd	gelost
gelovert	
geluidgegevens	geluidsgegevens
geluidsnelheid	geluidssnelheid
geluidt	geluid
geluistert	geluisterd
geluit	geluid
gelukd	gelukt
gelukkert	
Gelukkiglijk	gelukkig
gelukwensert	
gelult	geluld
gelunchd	geluncht
gelynchd	gelyncht
gemaait	gemaaid
gemaakd	gemaakt
gemaakdt	gemaakt
gemachtigt	gemachtigd
gemaildt	gemaild
gemailt	gemaild
gemakske	gemak
gemakt	gemaakt
gemaliede	
gemandt	gemand
gemanipuleert	gemanipuleerd
gemankeerdt	gemankeerd
gemanoevreerd	gemanoeuvreerd
gemanouvreerd	gemanoeuvreerd
gemarkeert	gemarkeerd
gemartelt	gemarteld
gemasseert	gemasseerd
gematigt	gematigd
gemeent	gemeend
gemeldt	gemeld
gemelt	gemeld
gemendt	gemend
gemenerikken	gemeneriken
gemengdt	gemengd
gemen	gemeen;gamen
gemengt	gemengd
gemeniriken	gemeneriken
gement	gemend
gemerkd	gemerkt
gemerkdt	gemerkt
gemetselt	gemetseld
gemiddeldt	gemiddeld
gemiddelt	gemiddeld
geminimaliseert	geminimaliseerd
gemisd	gemist
gemixd	gemixt
gemodificeert	gemodificeerd
gemoeit	gemoeid
gemoldt	gemold
gemolt	gemold
gemonitort	gemonitord
gemonteerdt	gemonteerd
gemonteert	gemonteerd
gemoordt	gemoord
gemotiveert	gemotiveerd
gemund	gemunt
gemundt	gemunt
genaait	genaaid
genadert	genaderd
genagelt	genageld
genaker	gennaker
genakers	gennakers
genakert	
genante	gênante
genant	gênant
genânt	gênant
geneerdert	
geneesmiddelenwet	Geneesmiddelenwet
genegeerdt	genegeerd
genegeert	genegeerd
geneigt	geneigd
generaliseerdert	
genereerdert	
genestelt	genesteld
geneukd	geneukt
geneukdt	geneukt
Gene`ve	Genève
genezert	
genied	geniet
geniedt	geniet
genie-officieren	genieofficieren
genie-officier	genieofficier
genietert	
genoegert	
genoemdt	genoemd
genoemt	genoemd
genomende	genoemde
genomend	genoemd;genomen
genomineert	genomineerd
genoodzaakd	genoodzaakt
genoteerdt	genoteerd
genoteert	genoteerd
genotteerdert	
genuanceert	genuanceerd
genudt	genut
genummert	genummerd
genuttigt	genuttigd
geobsedeert	geobsedeerd
geobserveert	geobserveerd
geoefendt	geoefend
geoefent	geoefend
geofferdt	geofferd
geoffert	geofferd
geolieden	geoliede
geoordeeldt	geoordeeld
geoordeelt	geoordeeld
geoorlooft	geoorloofd
geopenbaardt	geopenbaard
geopenbaart	geopenbaard
geopent	geopend
geopereerdt	geopereerd
geopereert	geopereerd
geopperdt	geopperd
geoppert	geopperd
geoptimaliseert	geoptimaliseerd
georchestreerde	georkestreerde
georchestreerd	georkestreerd
geordent	geordend
geordonneerdt	geordonneerd
georganiseerdt	georganiseerd
georganiseert	georganiseerd
geörienteerde	georiënteerde
geörienteerd	georiënteerd
geoxideerdt	geoxideerd
geoxideert	geoxideerd
gepaart	gepaard
gepakd	gepakt
geparkeerdt	geparkeerd
geparkeert	geparkeerd
gepasseerdt	gepasseerd
gepasseert	gepasseerd
gepatenteert	gepatenteerd
gepeilt	gepeild
gepeldt	gepeld
gepelt	gepeld
gepersd	geperst
gepersonaliseert	gepersonaliseerd
gepint	gepind
geplaagt	geplaagd
geplaatsd	geplaatst
geplanten	geplante
gepledt	geplet
gepleegt	gepleegd
gepleid	gepleit
geplempdt	geplempt
gepleurdt	gepleurd
geplooit	geplooid
geplundert	geplunderd
gepolijsd	gepolijst
gepolsd	gepolst
gepompd	gepompt
gepoogt	gepoogd
gepositioneert	gepositioneerd
gepraktizeerd	gepraktiseerd
geprepareert	geprepareerd
gepresenteerdt	gepresenteerd
gepresenteert	gepresenteerd
gepresteert	gepresteerd
geprijst	geprijsd
geprikkelt	geprikkeld
geprobeerdt	geprobeerd
geprobeert	geprobeerd
geprocedeert	geprocedeerd
geproduceerdt	geproduceerd
geproduceert	geproduceerd
geproeft	geproefd
geprofiteert	geprofiteerd
geprogrammeert	geprogrammeerd
geprojecteert	geprojecteerd
gepromoveert	gepromoveerd
gepropageert	gepropageerd
geprotesteerden	
geprotesteert	geprotesteerd
gepubliceert	gepubliceerd
gepunten	gepunte
geraadpleegt	geraadpleegd
geraakd	geraakt
geraamt	geraamd
geraced	geracet
geragdt	geragd
gerakert	
geramt	geramd
gerapporteert	gerapporteerd
gerapst	geraspt
gereageerdt	gereageerd
gereageert	gereageerd
gerealiseert	gerealiseerd
gerechtvaardigt	gerechtvaardigd
gerecruteerde	gerekruteerde
gerecruteerd	gerekruteerd
gerecyclet	gerecycled
geredeneert	geredeneerd
geredt	gered
gereduceert	gereduceerd
gereedhoudert	
gereedkomert	
gereedleggert	
gereedliggert	
gereedmakert	
gereedstaart	
gereedt	gereed
gereedzettert	
gereet	gereed
gerefereert	gerefereerd
gereflecteert	gereflecteerd
gereformeert	gereformeerd
geregeerdt	geregeerd
geregeert	geregeerd
geregeldt	geregeld
geregelt	geregeld
geregent	geregend
geregisseert	geregisseerd
geregistreerdt	geregistreerd
geregistreert	geregistreerd
gereguleert	gereguleerd
gereinigdt	gereinigd
gereinigt	gereinigd
gereïntegreerd	gere-integreerd
gereist	gereisd
gerekendt	gerekend
gerekent	gerekend
gerelateert	gerelateerd
geremt	geremd
gerenoveert	gerenoveerd
gerepareert	gerepareerd
gereserveert	gereserveerd
geresolveert	geresolveerd
gerespecteert	gerespecteerd
gerestaureert	gerestaureerd
gerestoreerde	gerestaureerde
gerestoreerd	gerestaureerd
geresulteert	geresulteerd
geret	gered
geretourneerdt	geretourneerd
geretourneert	geretourneerd
gereviseert	gereviseerd
gerievert	
geringschattert	
geringt	geringd
germain	Germain
German	Duits
germaniseerdert	
geroddelt	geroddeld
gerodeerdt	gerodeerd
geroeit	geroeid
geroemt	geroemd
geroert	geroerd
gerolt	gerold
gerommelt	gerommeld
gerooft	geroofd
gerooit	gerooid
gerookd	gerookt
geroostert	geroosterd
geruilt	geruild
geruimdt	geruimd
geruimt	geruimd
geruïneerdt	geruïneerd
gerunt	gerund
gerusdt	gerust
gerustgesteldt	gerustgesteld
geruststellert	
gesaneerdt	gesaneerd
gescant	gescand
geschaadt	geschaad
geschaaft	geschaafd
geschaardt	geschaard
geschaart	geschaard
geschaat	geschaad
geschad	geschat
geschakelt	geschakeld
gescheelt	gescheeld
gescheldt	gescheld
gescheurt	gescheurd
geschiedert	
geschikd	geschikt
geschildert	geschilderd
geschilt	geschild
geschoeidt	geschoeid
geschoolt	geschoold
geschordt	geschort
geschorsd	geschorst
geschreeuwt	geschreeuwd
geschreidt	geschreid
geschrobt	geschrobd
geschroeft	geschroefd
geschuurt	geschuurd
gescoort	gescoord
gescrubt	gescrubd
geselecteerdt	geselecteerd
geselecteert	geselecteerd
geselert	
geserveert	geserveerd
geshowt	geshowd
gesiert	gesierd
gesignaleert	gesignaleerd
gesitueert	gesitueerd
gesjeest	gesjeesd
gesjoemelt	gesjoemeld
gesjouwdt	gesjouwd
geskiet	geskied
geslaagdt	geslaagd
geslaagt	geslaagd
gesleepd	gesleept
gesleurt	gesleurd
gesleutelt	gesleuteld
geslingert	geslingerd
gesloopd	gesloopt
gesmeedt	gesmeed
gesmeerdt	gesmeerd
gesmeert	gesmeerd
gesmeet	gesmeed
gesmokkelt	gesmokkeld
gesmoort	gesmoord
gesmult	gesmuld
gesneeuwt	gesneeuwd
gesneuvelt	gesneuveld
gesnipperdt	gesnipperd
gesnippert	gesnipperd
gesnoeit	gesnoeid
gesodemieterdt	gesodemieterd
gesoldeerdt	gesoldeerd
gesoldeert	gesoldeerd
gesorteert	gesorteerd
gespaardt	gespaard
gespaart	gespaard
gesparen	besparen
gespecialiseerdt	gespecialiseerd
gespecialiseert	gespecialiseerd
gespecificeert	gespecificeerd
gespeculeert	gespeculeerd
gespeeldt	gespeeld
gespeelt	gespeeld
gespeent	gespeend
gespeldt	gespeld
gespelt	gespeld
gespendeert	gespendeerd
gesperdt	gesperd
gespijkert	gespijkerd
gespod	gespot
gespoelt	gespoeld
gesponsort	gesponsord
gespreidt	gespreid
gespreit	gespreid
gesproeit	gesproeid
gespuugt	gespuugd
gestaaft	gestaafd
gestabiliseert	gestabiliseerd
gestadt	gestat
gestaldt	gestald
gestalt	gestald
gestansd	gestanst
gestapelt	gestapeld
gestard	gestart
gesteldt	gesteld
gestelt	gesteld
gestemdt	gestemd
gestempelt	gestempeld
gestemt	gestemd
gesteriliseert	gesteriliseerd
gesteunt	gesteund
gesticuleerdert	
gestilt	gestild
gestimuleert	gestimuleerd
gestoelt	gestoeld
gestoffeert	gestoffeerd
gestofzuigt	gestofzuigd
gestolt	gestold
gestooft	gestoofd
gestoomt	gestoomd
gestoordt	gestoord
gestoort	gestoord
gestopd	gestopt
gestord	gestort
gestormt	gestormd
gestrafd	gestraft
gestrandt	gestrand
gestrant	gestrand
gestreeft	gestreefd
gestreepd	gestreept
gestremt	gestremd
gestresd	gestrest
gestrompeldt	gestrompeld
gestrooidt	gestrooid
gestrooit	gestrooid
gestroomlijnt	gestroomlijnd
gestroomt	gestroomd
gestucd	gestuct
gestudeert	gestudeerd
gestuurdt	gestuurd
gestuurt	gestuurd
gestyleerde	gestileerde
gesubsidieerdt	gesubsidieerd
gesubsidieert	gesubsidieerd
gesuggereerdt	gesuggereerd
gesuggereert	gesuggereerd
gesukkelt	gesukkeld
gesynchroniseert	gesynchroniseerd
getagt	getagd
getaped	getapet
getaxeert	getaxeerd
geteelt	geteeld
geteistert	geteisterd
getekendt	getekend
getekent	getekend
geteldt	geteld
getelt	geteld
getempert	getemperd
getildt	getild
getilt	getild
getimmert	getimmerd
getind	getint
getitelt	getiteld
getoetsd	getoetst
getolereerdt	getolereerd
